Idx of Removed Row,Class,Base Accuracy,Accuracy,Change in Accuracy,Change in Accuracy(ABS)
0,van,0.78,0.78,0.0,0.0
1,van,0.78,0.78,0.0,0.0
2,saab,0.78,0.78,0.0,0.0
3,van,0.78,0.78,0.0,0.0
4,bus,0.78,0.78,0.0,0.0
5,bus,0.78,0.78,0.0,0.0
6,bus,0.78,0.78,0.0,0.0
7,van,0.78,0.78,0.0,0.0
8,van,0.78,0.78,0.0,0.0
9,saab,0.78,0.78,0.0,0.0
10,van,0.78,0.78,0.0,0.0
11,saab,0.78,0.78,0.0,0.0
12,bus,0.78,0.78,0.0,0.0
13,van,0.78,0.78,0.0,0.0
14,bus,0.78,0.78,0.0,0.0
15,opel,0.78,0.78,0.0,0.0
16,van,0.78,0.78,0.0,0.0
17,bus,0.78,0.78,0.0,0.0
18,saab,0.78,0.78,0.0,0.0
19,opel,0.78,0.79,0.010000000000000009,0.010000000000000009
20,bus,0.78,0.79,0.010000000000000009,0.010000000000000009
21,van,0.78,0.79,0.010000000000000009,0.010000000000000009
22,bus,0.78,0.79,0.010000000000000009,0.010000000000000009
23,bus,0.78,0.79,0.010000000000000009,0.010000000000000009
24,saab,0.78,0.79,0.010000000000000009,0.010000000000000009
25,van,0.78,0.78,0.0,0.0
26,saab,0.78,0.78,0.0,0.0
27,saab,0.78,0.78,0.0,0.0
28,bus,0.78,0.78,0.0,0.0
29,saab,0.78,0.79,0.010000000000000009,0.010000000000000009
30,van,0.78,0.78,0.0,0.0
31,saab,0.78,0.79,0.010000000000000009,0.010000000000000009
32,opel,0.78,0.79,0.010000000000000009,0.010000000000000009
33,opel,0.78,0.78,0.0,0.0
34,opel,0.78,0.78,0.0,0.0
35,van,0.78,0.78,0.0,0.0
36,bus,0.78,0.78,0.0,0.0
37,van,0.78,0.78,0.0,0.0
38,saab,0.78,0.79,0.010000000000000009,0.010000000000000009
39,bus,0.78,0.78,0.0,0.0
40,opel,0.78,0.78,0.0,0.0
41,van,0.78,0.78,0.0,0.0
42,van,0.78,0.78,0.0,0.0
43,saab,0.78,0.79,0.010000000000000009,0.010000000000000009
44,saab,0.78,0.78,0.0,0.0
45,van,0.78,0.78,0.0,0.0
46,van,0.78,0.78,0.0,0.0
47,bus,0.78,0.78,0.0,0.0
48,van,0.78,0.78,0.0,0.0
49,saab,0.78,0.78,0.0,0.0
50,saab,0.78,0.78,0.0,0.0
51,saab,0.78,0.78,0.0,0.0
52,opel,0.78,0.79,0.010000000000000009,0.010000000000000009
53,bus,0.78,0.78,0.0,0.0
54,bus,0.78,0.78,0.0,0.0
55,van,0.78,0.78,0.0,0.0
56,saab,0.78,0.79,0.010000000000000009,0.010000000000000009
57,van,0.78,0.79,0.010000000000000009,0.010000000000000009
58,opel,0.78,0.8,0.020000000000000018,0.020000000000000018
59,van,0.78,0.79,0.010000000000000009,0.010000000000000009
60,opel,0.78,0.79,0.010000000000000009,0.010000000000000009
61,opel,0.78,0.79,0.010000000000000009,0.010000000000000009
62,van,0.78,0.79,0.010000000000000009,0.010000000000000009
63,bus,0.78,0.79,0.010000000000000009,0.010000000000000009
64,bus,0.78,0.79,0.010000000000000009,0.010000000000000009
65,opel,0.78,0.78,0.0,0.0
66,bus,0.78,0.78,0.0,0.0
67,opel,0.78,0.78,0.0,0.0
68,van,0.78,0.78,0.0,0.0
69,bus,0.78,0.78,0.0,0.0
70,opel,0.78,0.79,0.010000000000000009,0.010000000000000009
71,opel,0.78,0.79,0.010000000000000009,0.010000000000000009
72,opel,0.78,0.78,0.0,0.0
73,opel,0.78,0.79,0.010000000000000009,0.010000000000000009
74,van,0.78,0.78,0.0,0.0
75,opel,0.78,0.78,0.0,0.0
76,saab,0.78,0.78,0.0,0.0
77,saab,0.78,0.79,0.010000000000000009,0.010000000000000009
78,bus,0.78,0.79,0.010000000000000009,0.010000000000000009
