Idx of Removed Row,Class,Base Accuracy,Accuracy,Change in Accuracy,Change in Accuracy(ABS)
79,bus,0.78,0.79,0.010000000000000009,0.010000000000000009
80,bus,0.78,0.79,0.010000000000000009,0.010000000000000009
81,bus,0.78,0.79,0.010000000000000009,0.010000000000000009
82,van,0.78,0.79,0.010000000000000009,0.010000000000000009
83,opel,0.78,0.8,0.020000000000000018,0.020000000000000018
84,bus,0.78,0.79,0.010000000000000009,0.010000000000000009
85,bus,0.78,0.79,0.010000000000000009,0.010000000000000009
86,van,0.78,0.79,0.010000000000000009,0.010000000000000009
87,van,0.78,0.79,0.010000000000000009,0.010000000000000009
88,bus,0.78,0.79,0.010000000000000009,0.010000000000000009
89,opel,0.78,0.79,0.010000000000000009,0.010000000000000009
90,saab,0.78,0.79,0.010000000000000009,0.010000000000000009
91,opel,0.78,0.79,0.010000000000000009,0.010000000000000009
92,saab,0.78,0.79,0.010000000000000009,0.010000000000000009
93,van,0.78,0.79,0.010000000000000009,0.010000000000000009
94,bus,0.78,0.79,0.010000000000000009,0.010000000000000009
95,opel,0.78,0.79,0.010000000000000009,0.010000000000000009
96,saab,0.78,0.79,0.010000000000000009,0.010000000000000009
97,bus,0.78,0.79,0.010000000000000009,0.010000000000000009
98,opel,0.78,0.78,0.0,0.0
99,bus,0.78,0.79,0.010000000000000009,0.010000000000000009
100,bus,0.78,0.79,0.010000000000000009,0.010000000000000009
101,van,0.78,0.78,0.0,0.0
102,van,0.78,0.78,0.0,0.0
103,van,0.78,0.78,0.0,0.0
104,bus,0.78,0.78,0.0,0.0
105,saab,0.78,0.78,0.0,0.0
106,opel,0.78,0.77,-0.010000000000000009,0.010000000000000009
107,opel,0.78,0.77,-0.010000000000000009,0.010000000000000009
108,bus,0.78,0.77,-0.010000000000000009,0.010000000000000009
109,bus,0.78,0.77,-0.010000000000000009,0.010000000000000009
110,van,0.78,0.77,-0.010000000000000009,0.010000000000000009
111,van,0.78,0.77,-0.010000000000000009,0.010000000000000009
112,opel,0.78,0.77,-0.010000000000000009,0.010000000000000009
113,opel,0.78,0.77,-0.010000000000000009,0.010000000000000009
114,van,0.78,0.77,-0.010000000000000009,0.010000000000000009
115,van,0.78,0.77,-0.010000000000000009,0.010000000000000009
116,opel,0.78,0.78,0.0,0.0
117,saab,0.78,0.77,-0.010000000000000009,0.010000000000000009
118,bus,0.78,0.77,-0.010000000000000009,0.010000000000000009
119,bus,0.78,0.77,-0.010000000000000009,0.010000000000000009
120,saab,0.78,0.77,-0.010000000000000009,0.010000000000000009
121,van,0.78,0.77,-0.010000000000000009,0.010000000000000009
122,van,0.78,0.77,-0.010000000000000009,0.010000000000000009
123,saab,0.78,0.78,0.0,0.0
124,van,0.78,0.77,-0.010000000000000009,0.010000000000000009
125,van,0.78,0.77,-0.010000000000000009,0.010000000000000009
126,bus,0.78,0.77,-0.010000000000000009,0.010000000000000009
127,bus,0.78,0.77,-0.010000000000000009,0.010000000000000009
128,van,0.78,0.77,-0.010000000000000009,0.010000000000000009
129,bus,0.78,0.77,-0.010000000000000009,0.010000000000000009
130,saab,0.78,0.77,-0.010000000000000009,0.010000000000000009
131,saab,0.78,0.77,-0.010000000000000009,0.010000000000000009
132,saab,0.78,0.77,-0.010000000000000009,0.010000000000000009
133,van,0.78,0.77,-0.010000000000000009,0.010000000000000009
134,opel,0.78,0.77,-0.010000000000000009,0.010000000000000009
135,van,0.78,0.77,-0.010000000000000009,0.010000000000000009
136,van,0.78,0.77,-0.010000000000000009,0.010000000000000009
137,van,0.78,0.77,-0.010000000000000009,0.010000000000000009
138,saab,0.78,0.77,-0.010000000000000009,0.010000000000000009
139,van,0.78,0.77,-0.010000000000000009,0.010000000000000009
140,saab,0.78,0.77,-0.010000000000000009,0.010000000000000009
141,bus,0.78,0.77,-0.010000000000000009,0.010000000000000009
142,opel,0.78,0.77,-0.010000000000000009,0.010000000000000009
143,bus,0.78,0.77,-0.010000000000000009,0.010000000000000009
144,opel,0.78,0.77,-0.010000000000000009,0.010000000000000009
145,opel,0.78,0.77,-0.010000000000000009,0.010000000000000009
146,van,0.78,0.77,-0.010000000000000009,0.010000000000000009
147,bus,0.78,0.77,-0.010000000000000009,0.010000000000000009
148,saab,0.78,0.77,-0.010000000000000009,0.010000000000000009
149,van,0.78,0.76,-0.020000000000000018,0.020000000000000018
150,saab,0.78,0.76,-0.020000000000000018,0.020000000000000018
151,bus,0.78,0.76,-0.020000000000000018,0.020000000000000018
152,opel,0.78,0.77,-0.010000000000000009,0.010000000000000009
153,saab,0.78,0.76,-0.020000000000000018,0.020000000000000018
154,van,0.78,0.76,-0.020000000000000018,0.020000000000000018
155,bus,0.78,0.76,-0.020000000000000018,0.020000000000000018
156,opel,0.78,0.76,-0.020000000000000018,0.020000000000000018
157,van,0.78,0.76,-0.020000000000000018,0.020000000000000018
158,saab,0.78,0.77,-0.010000000000000009,0.010000000000000009
159,opel,0.78,0.76,-0.020000000000000018,0.020000000000000018
160,opel,0.78,0.77,-0.010000000000000009,0.010000000000000009
161,opel,0.78,0.76,-0.020000000000000018,0.020000000000000018
162,saab,0.78,0.76,-0.020000000000000018,0.020000000000000018
163,saab,0.78,0.77,-0.010000000000000009,0.010000000000000009
164,opel,0.78,0.76,-0.020000000000000018,0.020000000000000018
165,opel,0.78,0.76,-0.020000000000000018,0.020000000000000018
166,saab,0.78,0.76,-0.020000000000000018,0.020000000000000018
167,saab,0.78,0.76,-0.020000000000000018,0.020000000000000018
168,bus,0.78,0.76,-0.020000000000000018,0.020000000000000018
169,van,0.78,0.76,-0.020000000000000018,0.020000000000000018
170,opel,0.78,0.77,-0.010000000000000009,0.010000000000000009
171,bus,0.78,0.76,-0.020000000000000018,0.020000000000000018
172,van,0.78,0.76,-0.020000000000000018,0.020000000000000018
173,bus,0.78,0.76,-0.020000000000000018,0.020000000000000018
174,van,0.78,0.76,-0.020000000000000018,0.020000000000000018
175,bus,0.78,0.76,-0.020000000000000018,0.020000000000000018
176,opel,0.78,0.76,-0.020000000000000018,0.020000000000000018
177,bus,0.78,0.77,-0.010000000000000009,0.010000000000000009
178,bus,0.78,0.76,-0.020000000000000018,0.020000000000000018
179,van,0.78,0.76,-0.020000000000000018,0.020000000000000018
180,saab,0.78,0.76,-0.020000000000000018,0.020000000000000018
181,opel,0.78,0.76,-0.020000000000000018,0.020000000000000018
182,bus,0.78,0.76,-0.020000000000000018,0.020000000000000018
183,saab,0.78,0.78,0.0,0.0
184,saab,0.78,0.76,-0.020000000000000018,0.020000000000000018
185,bus,0.78,0.76,-0.020000000000000018,0.020000000000000018
186,bus,0.78,0.76,-0.020000000000000018,0.020000000000000018
187,opel,0.78,0.76,-0.020000000000000018,0.020000000000000018
188,opel,0.78,0.76,-0.020000000000000018,0.020000000000000018
189,opel,0.78,0.76,-0.020000000000000018,0.020000000000000018
190,opel,0.78,0.76,-0.020000000000000018,0.020000000000000018
191,van,0.78,0.76,-0.020000000000000018,0.020000000000000018
192,saab,0.78,0.76,-0.020000000000000018,0.020000000000000018
193,bus,0.78,0.76,-0.020000000000000018,0.020000000000000018
194,saab,0.78,0.76,-0.020000000000000018,0.020000000000000018
195,bus,0.78,0.76,-0.020000000000000018,0.020000000000000018
196,saab,0.78,0.76,-0.020000000000000018,0.020000000000000018
197,bus,0.78,0.76,-0.020000000000000018,0.020000000000000018
198,bus,0.78,0.76,-0.020000000000000018,0.020000000000000018
199,bus,0.78,0.76,-0.020000000000000018,0.020000000000000018
200,van,0.78,0.76,-0.020000000000000018,0.020000000000000018
201,saab,0.78,0.76,-0.020000000000000018,0.020000000000000018
202,opel,0.78,0.75,-0.030000000000000027,0.030000000000000027
203,opel,0.78,0.75,-0.030000000000000027,0.030000000000000027
204,van,0.78,0.76,-0.020000000000000018,0.020000000000000018
205,van,0.78,0.76,-0.020000000000000018,0.020000000000000018
206,opel,0.78,0.76,-0.020000000000000018,0.020000000000000018
207,bus,0.78,0.77,-0.010000000000000009,0.010000000000000009
208,bus,0.78,0.77,-0.010000000000000009,0.010000000000000009
209,opel,0.78,0.77,-0.010000000000000009,0.010000000000000009
210,opel,0.78,0.77,-0.010000000000000009,0.010000000000000009
211,van,0.78,0.77,-0.010000000000000009,0.010000000000000009
212,bus,0.78,0.77,-0.010000000000000009,0.010000000000000009
213,bus,0.78,0.77,-0.010000000000000009,0.010000000000000009
214,opel,0.78,0.77,-0.010000000000000009,0.010000000000000009
215,opel,0.78,0.77,-0.010000000000000009,0.010000000000000009
216,saab,0.78,0.77,-0.010000000000000009,0.010000000000000009
217,opel,0.78,0.77,-0.010000000000000009,0.010000000000000009
218,bus,0.78,0.76,-0.020000000000000018,0.020000000000000018
219,van,0.78,0.76,-0.020000000000000018,0.020000000000000018
220,opel,0.78,0.76,-0.020000000000000018,0.020000000000000018
221,van,0.78,0.76,-0.020000000000000018,0.020000000000000018
222,bus,0.78,0.76,-0.020000000000000018,0.020000000000000018
223,bus,0.78,0.76,-0.020000000000000018,0.020000000000000018
224,saab,0.78,0.76,-0.020000000000000018,0.020000000000000018
225,van,0.78,0.76,-0.020000000000000018,0.020000000000000018
226,saab,0.78,0.76,-0.020000000000000018,0.020000000000000018
227,van,0.78,0.76,-0.020000000000000018,0.020000000000000018
228,saab,0.78,0.75,-0.030000000000000027,0.030000000000000027
229,saab,0.78,0.76,-0.020000000000000018,0.020000000000000018
230,van,0.78,0.77,-0.010000000000000009,0.010000000000000009
231,saab,0.78,0.77,-0.010000000000000009,0.010000000000000009
232,bus,0.78,0.76,-0.020000000000000018,0.020000000000000018
233,saab,0.78,0.74,-0.040000000000000036,0.040000000000000036
234,van,0.78,0.74,-0.040000000000000036,0.040000000000000036
235,van,0.78,0.74,-0.040000000000000036,0.040000000000000036
236,bus,0.78,0.74,-0.040000000000000036,0.040000000000000036
237,bus,0.78,0.74,-0.040000000000000036,0.040000000000000036
238,opel,0.78,0.74,-0.040000000000000036,0.040000000000000036
239,bus,0.78,0.74,-0.040000000000000036,0.040000000000000036
240,opel,0.78,0.74,-0.040000000000000036,0.040000000000000036
241,opel,0.78,0.76,-0.020000000000000018,0.020000000000000018
242,bus,0.78,0.76,-0.020000000000000018,0.020000000000000018
243,saab,0.78,0.76,-0.020000000000000018,0.020000000000000018
244,van,0.78,0.76,-0.020000000000000018,0.020000000000000018
245,van,0.78,0.76,-0.020000000000000018,0.020000000000000018
246,bus,0.78,0.76,-0.020000000000000018,0.020000000000000018
247,saab,0.78,0.76,-0.020000000000000018,0.020000000000000018
248,opel,0.78,0.76,-0.020000000000000018,0.020000000000000018
249,saab,0.78,0.76,-0.020000000000000018,0.020000000000000018
250,van,0.78,0.76,-0.020000000000000018,0.020000000000000018
251,opel,0.78,0.75,-0.030000000000000027,0.030000000000000027
252,van,0.78,0.76,-0.020000000000000018,0.020000000000000018
253,bus,0.78,0.76,-0.020000000000000018,0.020000000000000018
254,van,0.78,0.76,-0.020000000000000018,0.020000000000000018
255,saab,0.78,0.76,-0.020000000000000018,0.020000000000000018
256,saab,0.78,0.76,-0.020000000000000018,0.020000000000000018
257,opel,0.78,0.77,-0.010000000000000009,0.010000000000000009
258,saab,0.78,0.77,-0.010000000000000009,0.010000000000000009
259,opel,0.78,0.77,-0.010000000000000009,0.010000000000000009
260,saab,0.78,0.76,-0.020000000000000018,0.020000000000000018
261,saab,0.78,0.77,-0.010000000000000009,0.010000000000000009
262,van,0.78,0.77,-0.010000000000000009,0.010000000000000009
263,van,0.78,0.77,-0.010000000000000009,0.010000000000000009
264,saab,0.78,0.78,0.0,0.0
265,bus,0.78,0.77,-0.010000000000000009,0.010000000000000009
266,bus,0.78,0.77,-0.010000000000000009,0.010000000000000009
267,saab,0.78,0.77,-0.010000000000000009,0.010000000000000009
268,van,0.78,0.77,-0.010000000000000009,0.010000000000000009
269,van,0.78,0.77,-0.010000000000000009,0.010000000000000009
270,bus,0.78,0.77,-0.010000000000000009,0.010000000000000009
271,saab,0.78,0.77,-0.010000000000000009,0.010000000000000009
272,van,0.78,0.77,-0.010000000000000009,0.010000000000000009
273,van,0.78,0.77,-0.010000000000000009,0.010000000000000009
274,bus,0.78,0.77,-0.010000000000000009,0.010000000000000009
275,bus,0.78,0.77,-0.010000000000000009,0.010000000000000009
276,bus,0.78,0.77,-0.010000000000000009,0.010000000000000009
277,opel,0.78,0.77,-0.010000000000000009,0.010000000000000009
278,saab,0.78,0.76,-0.020000000000000018,0.020000000000000018
279,bus,0.78,0.76,-0.020000000000000018,0.020000000000000018
280,opel,0.78,0.77,-0.010000000000000009,0.010000000000000009
281,bus,0.78,0.76,-0.020000000000000018,0.020000000000000018
282,bus,0.78,0.76,-0.020000000000000018,0.020000000000000018
283,saab,0.78,0.76,-0.020000000000000018,0.020000000000000018
284,van,0.78,0.76,-0.020000000000000018,0.020000000000000018
285,saab,0.78,0.76,-0.020000000000000018,0.020000000000000018
286,bus,0.78,0.76,-0.020000000000000018,0.020000000000000018
287,van,0.78,0.76,-0.020000000000000018,0.020000000000000018
288,opel,0.78,0.77,-0.010000000000000009,0.010000000000000009
289,saab,0.78,0.75,-0.030000000000000027,0.030000000000000027
290,van,0.78,0.75,-0.030000000000000027,0.030000000000000027
291,van,0.78,0.75,-0.030000000000000027,0.030000000000000027
292,bus,0.78,0.75,-0.030000000000000027,0.030000000000000027
293,van,0.78,0.75,-0.030000000000000027,0.030000000000000027
294,bus,0.78,0.75,-0.030000000000000027,0.030000000000000027
295,bus,0.78,0.75,-0.030000000000000027,0.030000000000000027
296,bus,0.78,0.75,-0.030000000000000027,0.030000000000000027
297,saab,0.78,0.78,0.0,0.0
298,saab,0.78,0.76,-0.020000000000000018,0.020000000000000018
299,bus,0.78,0.76,-0.020000000000000018,0.020000000000000018
300,saab,0.78,0.76,-0.020000000000000018,0.020000000000000018
301,opel,0.78,0.76,-0.020000000000000018,0.020000000000000018
302,bus,0.78,0.76,-0.020000000000000018,0.020000000000000018
303,van,0.78,0.76,-0.020000000000000018,0.020000000000000018
304,bus,0.78,0.76,-0.020000000000000018,0.020000000000000018
305,bus,0.78,0.76,-0.020000000000000018,0.020000000000000018
306,saab,0.78,0.76,-0.020000000000000018,0.020000000000000018
307,opel,0.78,0.76,-0.020000000000000018,0.020000000000000018
308,opel,0.78,0.76,-0.020000000000000018,0.020000000000000018
309,opel,0.78,0.74,-0.040000000000000036,0.040000000000000036
310,saab,0.78,0.77,-0.010000000000000009,0.010000000000000009
311,van,0.78,0.76,-0.020000000000000018,0.020000000000000018
312,bus,0.78,0.76,-0.020000000000000018,0.020000000000000018
313,opel,0.78,0.76,-0.020000000000000018,0.020000000000000018
314,bus,0.78,0.76,-0.020000000000000018,0.020000000000000018
315,van,0.78,0.76,-0.020000000000000018,0.020000000000000018
316,van,0.78,0.76,-0.020000000000000018,0.020000000000000018
317,saab,0.78,0.76,-0.020000000000000018,0.020000000000000018
318,van,0.78,0.76,-0.020000000000000018,0.020000000000000018
319,bus,0.78,0.76,-0.020000000000000018,0.020000000000000018
320,saab,0.78,0.76,-0.020000000000000018,0.020000000000000018
321,bus,0.78,0.75,-0.030000000000000027,0.030000000000000027
322,bus,0.78,0.75,-0.030000000000000027,0.030000000000000027
323,saab,0.78,0.75,-0.030000000000000027,0.030000000000000027
324,saab,0.78,0.75,-0.030000000000000027,0.030000000000000027
325,bus,0.78,0.75,-0.030000000000000027,0.030000000000000027
326,opel,0.78,0.74,-0.040000000000000036,0.040000000000000036
327,opel,0.78,0.75,-0.030000000000000027,0.030000000000000027
328,van,0.78,0.75,-0.030000000000000027,0.030000000000000027
329,saab,0.78,0.75,-0.030000000000000027,0.030000000000000027
330,van,0.78,0.74,-0.040000000000000036,0.040000000000000036
331,opel,0.78,0.74,-0.040000000000000036,0.040000000000000036
332,opel,0.78,0.74,-0.040000000000000036,0.040000000000000036
333,bus,0.78,0.74,-0.040000000000000036,0.040000000000000036
334,bus,0.78,0.74,-0.040000000000000036,0.040000000000000036
335,saab,0.78,0.74,-0.040000000000000036,0.040000000000000036
336,van,0.78,0.74,-0.040000000000000036,0.040000000000000036
337,bus,0.78,0.74,-0.040000000000000036,0.040000000000000036
338,van,0.78,0.74,-0.040000000000000036,0.040000000000000036
339,bus,0.78,0.74,-0.040000000000000036,0.040000000000000036
340,bus,0.78,0.74,-0.040000000000000036,0.040000000000000036
341,opel,0.78,0.74,-0.040000000000000036,0.040000000000000036
342,saab,0.78,0.74,-0.040000000000000036,0.040000000000000036
343,opel,0.78,0.74,-0.040000000000000036,0.040000000000000036
344,opel,0.78,0.74,-0.040000000000000036,0.040000000000000036
345,bus,0.78,0.74,-0.040000000000000036,0.040000000000000036
346,saab,0.78,0.74,-0.040000000000000036,0.040000000000000036
347,opel,0.78,0.74,-0.040000000000000036,0.040000000000000036
348,van,0.78,0.74,-0.040000000000000036,0.040000000000000036
349,opel,0.78,0.75,-0.030000000000000027,0.030000000000000027
350,opel,0.78,0.75,-0.030000000000000027,0.030000000000000027
351,saab,0.78,0.75,-0.030000000000000027,0.030000000000000027
352,van,0.78,0.75,-0.030000000000000027,0.030000000000000027
353,bus,0.78,0.75,-0.030000000000000027,0.030000000000000027
354,saab,0.78,0.75,-0.030000000000000027,0.030000000000000027
355,opel,0.78,0.76,-0.020000000000000018,0.020000000000000018
356,bus,0.78,0.76,-0.020000000000000018,0.020000000000000018
357,saab,0.78,0.76,-0.020000000000000018,0.020000000000000018
358,opel,0.78,0.76,-0.020000000000000018,0.020000000000000018
359,opel,0.78,0.76,-0.020000000000000018,0.020000000000000018
360,saab,0.78,0.76,-0.020000000000000018,0.020000000000000018
361,saab,0.78,0.76,-0.020000000000000018,0.020000000000000018
362,saab,0.78,0.76,-0.020000000000000018,0.020000000000000018
363,van,0.78,0.77,-0.010000000000000009,0.010000000000000009
364,opel,0.78,0.77,-0.010000000000000009,0.010000000000000009
365,saab,0.78,0.77,-0.010000000000000009,0.010000000000000009
366,van,0.78,0.77,-0.010000000000000009,0.010000000000000009
367,saab,0.78,0.77,-0.010000000000000009,0.010000000000000009
368,bus,0.78,0.76,-0.020000000000000018,0.020000000000000018
369,opel,0.78,0.76,-0.020000000000000018,0.020000000000000018
370,bus,0.78,0.76,-0.020000000000000018,0.020000000000000018
371,bus,0.78,0.76,-0.020000000000000018,0.020000000000000018
372,van,0.78,0.76,-0.020000000000000018,0.020000000000000018
373,bus,0.78,0.76,-0.020000000000000018,0.020000000000000018
374,van,0.78,0.76,-0.020000000000000018,0.020000000000000018
375,bus,0.78,0.76,-0.020000000000000018,0.020000000000000018
376,saab,0.78,0.77,-0.010000000000000009,0.010000000000000009
377,saab,0.78,0.76,-0.020000000000000018,0.020000000000000018
378,saab,0.78,0.77,-0.010000000000000009,0.010000000000000009
379,opel,0.78,0.76,-0.020000000000000018,0.020000000000000018
380,opel,0.78,0.77,-0.010000000000000009,0.010000000000000009
381,bus,0.78,0.77,-0.010000000000000009,0.010000000000000009
382,bus,0.78,0.77,-0.010000000000000009,0.010000000000000009
383,opel,0.78,0.77,-0.010000000000000009,0.010000000000000009
384,opel,0.78,0.76,-0.020000000000000018,0.020000000000000018
385,van,0.78,0.77,-0.010000000000000009,0.010000000000000009
386,saab,0.78,0.77,-0.010000000000000009,0.010000000000000009
387,van,0.78,0.77,-0.010000000000000009,0.010000000000000009
388,van,0.78,0.77,-0.010000000000000009,0.010000000000000009
389,opel,0.78,0.77,-0.010000000000000009,0.010000000000000009
390,bus,0.78,0.77,-0.010000000000000009,0.010000000000000009
391,van,0.78,0.77,-0.010000000000000009,0.010000000000000009
392,van,0.78,0.77,-0.010000000000000009,0.010000000000000009
393,bus,0.78,0.77,-0.010000000000000009,0.010000000000000009
394,saab,0.78,0.77,-0.010000000000000009,0.010000000000000009
395,opel,0.78,0.78,0.0,0.0
396,bus,0.78,0.77,-0.010000000000000009,0.010000000000000009
397,bus,0.78,0.77,-0.010000000000000009,0.010000000000000009
398,bus,0.78,0.77,-0.010000000000000009,0.010000000000000009
399,van,0.78,0.77,-0.010000000000000009,0.010000000000000009
400,saab,0.78,0.77,-0.010000000000000009,0.010000000000000009
401,opel,0.78,0.77,-0.010000000000000009,0.010000000000000009
402,opel,0.78,0.77,-0.010000000000000009,0.010000000000000009
403,van,0.78,0.77,-0.010000000000000009,0.010000000000000009
404,opel,0.78,0.77,-0.010000000000000009,0.010000000000000009
405,bus,0.78,0.78,0.0,0.0
406,opel,0.78,0.78,0.0,0.0
407,saab,0.78,0.78,0.0,0.0
408,bus,0.78,0.78,0.0,0.0
409,saab,0.78,0.79,0.010000000000000009,0.010000000000000009
410,saab,0.78,0.79,0.010000000000000009,0.010000000000000009
411,opel,0.78,0.78,0.0,0.0
412,bus,0.78,0.78,0.0,0.0
413,opel,0.78,0.78,0.0,0.0
414,van,0.78,0.78,0.0,0.0
415,opel,0.78,0.78,0.0,0.0
416,bus,0.78,0.78,0.0,0.0
417,bus,0.78,0.78,0.0,0.0
418,bus,0.78,0.78,0.0,0.0
419,saab,0.78,0.78,0.0,0.0
420,van,0.78,0.78,0.0,0.0
421,opel,0.78,0.78,0.0,0.0
422,saab,0.78,0.78,0.0,0.0
423,bus,0.78,0.78,0.0,0.0
424,opel,0.78,0.78,0.0,0.0
425,opel,0.78,0.78,0.0,0.0
426,opel,0.78,0.79,0.010000000000000009,0.010000000000000009
427,opel,0.78,0.78,0.0,0.0
428,saab,0.78,0.78,0.0,0.0
429,van,0.78,0.78,0.0,0.0
430,saab,0.78,0.78,0.0,0.0
431,bus,0.78,0.78,0.0,0.0
432,saab,0.78,0.78,0.0,0.0
433,bus,0.78,0.78,0.0,0.0
434,saab,0.78,0.78,0.0,0.0
435,van,0.78,0.78,0.0,0.0
436,van,0.78,0.78,0.0,0.0
437,opel,0.78,0.77,-0.010000000000000009,0.010000000000000009
438,opel,0.78,0.76,-0.020000000000000018,0.020000000000000018
439,saab,0.78,0.78,0.0,0.0
440,saab,0.78,0.78,0.0,0.0
441,van,0.78,0.78,0.0,0.0
442,van,0.78,0.78,0.0,0.0
443,opel,0.78,0.77,-0.010000000000000009,0.010000000000000009
444,bus,0.78,0.77,-0.010000000000000009,0.010000000000000009
445,van,0.78,0.77,-0.010000000000000009,0.010000000000000009
446,saab,0.78,0.77,-0.010000000000000009,0.010000000000000009
447,opel,0.78,0.77,-0.010000000000000009,0.010000000000000009
448,bus,0.78,0.77,-0.010000000000000009,0.010000000000000009
449,van,0.78,0.77,-0.010000000000000009,0.010000000000000009
450,bus,0.78,0.77,-0.010000000000000009,0.010000000000000009
451,opel,0.78,0.78,0.0,0.0
452,opel,0.78,0.78,0.0,0.0
453,bus,0.78,0.78,0.0,0.0
454,saab,0.78,0.78,0.0,0.0
455,bus,0.78,0.79,0.010000000000000009,0.010000000000000009
456,van,0.78,0.79,0.010000000000000009,0.010000000000000009
457,van,0.78,0.79,0.010000000000000009,0.010000000000000009
458,opel,0.78,0.79,0.010000000000000009,0.010000000000000009
459,saab,0.78,0.78,0.0,0.0
460,van,0.78,0.78,0.0,0.0
461,opel,0.78,0.78,0.0,0.0
462,opel,0.78,0.79,0.010000000000000009,0.010000000000000009
463,opel,0.78,0.77,-0.010000000000000009,0.010000000000000009
464,bus,0.78,0.77,-0.010000000000000009,0.010000000000000009
465,bus,0.78,0.77,-0.010000000000000009,0.010000000000000009
466,bus,0.78,0.77,-0.010000000000000009,0.010000000000000009
467,opel,0.78,0.77,-0.010000000000000009,0.010000000000000009
468,saab,0.78,0.77,-0.010000000000000009,0.010000000000000009
469,van,0.78,0.78,0.0,0.0
470,van,0.78,0.78,0.0,0.0
471,opel,0.78,0.79,0.010000000000000009,0.010000000000000009
472,bus,0.78,0.78,0.0,0.0
473,opel,0.78,0.78,0.0,0.0
474,opel,0.78,0.78,0.0,0.0
475,saab,0.78,0.78,0.0,0.0
476,opel,0.78,0.77,-0.010000000000000009,0.010000000000000009
